Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist: Artificial Intelligence,-1,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Who you are
As Data Scientist, you will develop, maintain, evaluate and test big data solutions. You will be involved in the design of data solutions using Artificial Intelligence based technologies like H2O, Tensorflow.
Skills in designing algorithms, implementing pipelines, validating model performance, and developing interfaces such as APIs. Expertise in working with IBM Watson services using Python Also experience with Spark, Hadoop, SQL (HANA)",4.0,IBM,"Mumbai
New
1d",10000+ Employees,1911,Company - Public,IT Service,Information Technology,$10+ billion (USD)
Data Scientist Trainee,-1,"Company Overview
Incedo is a US-based consulting, data science and technology services firm with over 2,500 people helping clients from our six offices across US and India. We help our clients achieve competitive advantage through end-to-end digital transformation. Our uniqueness lies in bringing together strong engineering, data science, and design capabilities coupled with deep domain understanding. We combine services and products to maximize business impact for our clients in telecom, financial services, product engineering and life science & healthcare industries.
Working at Incedo will provide you an opportunity to work with industry leading client organizations, deep technology and domain experts, and global teams. Incedo University, our learning platform, provides ample learning opportunities starting with a structured onboarding program and carrying throughout various stages of your career. A variety of fun activities are also an integral part of our friendly work environment. Our flexible career paths allow you to grow into a program manager, a technical architect or a domain expert based on your skills and interests. Job Description
Data Scientist-Analyst


: Data Scientist-Analyst We are looking for self-motivated data scientists to join our Data science team. As a data scientist, candidate is expected to understand a business problem, formulate possible approaches and use required analytical techniques or/and develop machine learning or statistical models to solve the same. They are expected to display a maturity in deciding the solution approach keeping stakeholders in mind.

Role and responsibilities

Technical skills requirements

The candidate must demonstrate proficiency in,

Nice-to-have skills

Qualifications

Company Value
We are an Equal Opportunity Employer

We value diversity at Incedo. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",4.0,Incedo,"Gurgaon
30d+",1001 to 5000 Employees,2012,Company - Private,IT Service,Information Technology,$100 to $500 million (USD)
Data Scientist - RI,-1,"At EY, you will have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we are counting on your unique voice and perspective to help EY become even better too. Join us and build an exceptional experience for yourself, and a better working world for all.

Job Title: Data Scientist
Function: EY Insights
Job Rank:Supervising associate
Sub Function: Research Institute
Reports to: Advanced Insights Lead

Job Summary:",3.8,EY,"Gurgaon
22d",Unknown,Unknown,Unknown / Non-Applicable,-1,-1,-1
Advanced Data Scientist,-1,"Innovate to solve the world's most important challenges
Senior Advanced Data Scientist for HR – Workforce & Intelligent Skill Planning

Deliver business value through Right and Fast partnership
Who We Are
Honeywell is a Fortune 100 company with global sales surpassing $40B and has been one of Fortune’s Most Admired Companies for over a decade. Through innovation, the Company brings together the physical and digital world to tackle some of the toughest societal and business problems – making the world a more productive, safe, and sustainable place.
The business is organized into five primary groups: Aerospace, Buildings, Performance Materials and Technologies, Safety and Productivity Solutions, and the Connected Enterprise. Honeywell specializes in things that are critically connected - beyond smart phones and laptops, we make the kinds of connections that keep cities working, planes flying, plants running, and workers safe. Our unique capabilities, over a century in the making, bring together data, expertise, and technology to connect people, processes, and assets.
Honeywell International is building a world that’s safer and more secure, more comfortable and energy efficient, more innovative and productive. For more information, please visit Honeywell.com or follow us @HoneywellNow.
Who You Are
We’re looking for a new team member who is motivated by cracking tough challenges with data, trained in problem solving, and with an unending thirst for learning.
As a Senior Advanced Data Scientist in Predictive Analytics of People Analytics team, you will join a high-performing, global team, and assist with designing, developing, and deploying data driven solutions for Human Resources & Communications function. You will be assigned to Data Science projects of “Workforce Planning & Intelligent Skill Planning” and “Talent Bench/E2E Learning – Talent Pipeline and Career Builder”. You will work closely with application architects to integrate results into operational platforms including containerized microservices and distributed compute and storage architectures.
Additionally, the Senior Advanced Data Scientist role is expected to work within Honeywell Human Resources & Communications function to identify opportunities for new growth and efficiencies based on data analyses both in adjacencies based on previous engagements, as well as larger industry developments.

Specific Responsibilities

Develop data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs
Foster relationships with Human Resources & Communications team by being proactive, displaying a thorough understanding of the business processes and by recommending innovative solutions
Communicate project output in terms of customer value, business objectives, and product opportunity
Promote data science methods and processes across functions
Work with our businesses and infrastructure teams to develop a strategy that will clearly outline how our enterprise platforms can enable business growth & productivity",3.8,Honeywell,"Bangalore
4d",10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,-1,"The Luxury Closet is a company born in Dubai, the heart of luxury in the Arabian Peninsula, where we are redefining the world of luxury. We seek to challenge the norms, and build a company that inspires the smart modern day luxury consumer. In Dubai, we have learnt to dream big, think far, and do what no one thought possible. The Luxury Closet embodies these ideals, and aims to build an iconic brand and company that will connect luxury connoisseurs, and change the future of luxury shopping.
Our mission is to be the leading marketplace for luxury shoppers in the GCC region. We will build a destination that has world class customer experience, differentiated technology and operational performance, and exceptional reach into the closets of the region. We were ranked as the Top 100 Startups Globally by Red Herring in 2016 and Top 4 Startups in UAE by Forbes Magazine, however, we care less for accolades, than our NPS.
Some facts about The Luxury Closet:",-1,The Luxury Closet,"Gurgaon
4d",-1,-1,-1,-1,-1,-1
GET (Graduate Engineer Trainee) - Data Science,₹3L - ₹4L (Employer Est.),"Role: BI Developer
Requirements: We are looking for bright, young engineers with good mathematics skills and an interest in data analytics/science.
We will provide necessary training in Data analytics technologies to selected candidates.
Experience: 0 to 3 years
Knowledge of the following will be advantageous:
1. SQL Query writing
2. MS Power BI
3. Python/R for data science",-1,RBHU ETG Private Limited,Navi Mumbai,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Lead Data Scientist-New Frontiers,₹7L - ₹10L (Glassdoor Est.),"Role/Job Title: Lead - Data Science

Business: Data & Analytics

Function/Department: Data & Analytics

Place of Work: Mumbai

Job Purpose:
'The Lead - Data Science role

Establishes and drives modelling tools and techniques
Leads the team in identifying opportunies for adding business value

'- Understands business problems and solving them with analytical techniques

Managerial & Leadership Responsibilities

'- Develops individual talent by providing ongoing feedback and creating individual development plans to enable people to reach their full potential


'- Creation of modelling frameworks",3.6,IDFC FIRST Bank,Mumbai,10000+ Employees,2018,Company - Public,Banks & Building Society,Finance,Unknown / Non-Applicable
Sr. Data Scientist-I,₹5L - ₹8L (Glassdoor Est.),":
India is among the top ten priority markets for General Mills, and hosts our Global Shared Services Centre. This is the Global Shared Services arm of General Mills Inc., which supports its operations worldwide. With over 1,300 employees in Mumbai, the center has capabilities in the areas of Supply Chain, Finance, HR, Digital and Technology, Sales Capabilities, Consumer Insights, ITQ (R&D & Quality), and Enterprise Business Services. Learning and capacity-building is a key ingredient of our success.
Job Description:
Job Overview
General Mills is seeking a Data Scientist to join the Data Science and Analytic Engineering team (DSAS) in the Enterprise Data Capabilities function. It is tasked with collaborating with and enabling existing functional data science and analytics teams. This team also provides data science expertise and services to advance initiatives around demand forecasting, text classification, operational analytics, and machine learning to name just a few. It is also responsible for curating a community of practice to determine the best standards and practices around data science at General Mills.",4.1,General Mills,Mumbai,10000+ Employees,1866,Company - Public,Food & Drink Manufacturing,Manufacturing,$10+ billion (USD)
Consumer Insight - Data Scientist,-1,"Date: Dec 29, 2021
Location: Mumbai, MH, IN
Company: Bajaj Electricals

Co-ordinate with internal and external team’s members on various Analytics requirements
Understanding business needs and applying analytical concepts to provide business solutions independently.
Establish and maintain clear communication with the clients and stakeholders project scopes, timelines, issue resolution and deliverables.
Doing POCs (Proof of Concepts) across different business units to get advanced analytics projects",3.9,Bajaj Electricals,"Mumbai
2d",1001 to 5000 Employees,1938,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist - Innovations,₹1L - ₹2L (Glassdoor Est.),"Company Description:
Merkle is a global data-driven, technology-enabled performance marketing agency. For over 30 years, Fortune 1,000 companies and leading nonprofit organisations have partnered with us to build and maximize the value of their customer portfolios. We work with world-class brands like Dell, T-Mobile, Samsung, GEICO, Regions, Kimberly-Clark, AARP, Lilly, Sanofi, NBC Universal, DIRECTV, American Cancer Society, Habitat for Humanity, and many others to build and execute customer-centric business strategies. With more than 9,000 smart, dedicated people in more than 50 offices around the world, we are still growing at a rate that outpaces the market, with 2018 net revenue of $846million.
Job Description:
What you’ll do at Merkle|Sokrati?",3.8,Merkle,Pune,1001 to 5000 Employees,1971,Company - Private,Advertising & Marketing,Business Service,$500 million to $1 billion (USD)
Executive - Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Job Description

ABOUT THIS JOB
Data science drives everything we do here at NielsenIQ. Our statistical research is at the forefront of an industry moving at the speed of light. GDDC is responsible for all Design related activities in Data science. GDDC is basically responsible for setting up the base of any product like retail index, E-comm, Cash & Carry, Scan track service (new/existing). They work closely with all the stakeholders to understand the client requirements &amp; provide recommendations/suggestions so as to best build up the product which balances expectations from both the client and methodological requirements. The GDDC team is responsible for processes starting from scope definition to panel sample design which would include processes like Sample design, extrapolation, and simulation, etc.",3.9,NielsenIQ,Vadodara,10000+ Employees,1923,Company - Private,Unknown / Non-Applicable,-1,-1
Senior Data Scientist,₹6L - ₹18L (Employer Est.),"Responsibilities:
Research and develop statistical learning models for data analysis
Collaborate with product management and engineering departments to understand company needs and devise possible solutions
Keep up-to-date with the latest technology trends
Communicate results and ideas to key decision-makers
Implement new statistical or other mathematical methodologies as needed for specific models or analysis
Optimize joint development efforts through appropriate database use and project design",-1,Sai Info Solution,Nashik,-1,-1,-1,-1,-1,-1
Junior Data Scientist,-1,"Company Description

Publicis Groupe is one of the largest communications groups and prides itself on being the one and only in the industry that can accompany its clients in their digital business-transformation journey, across the world. We are constantly growing in emerging technology trends, and ensuring we are future-proofing our business and expertise, ahead of our Clients, in order to deliver the best results for their businesses.

Job Description

We are looking for a Junior Research Engineer that will define the novel protocols/algorithms to help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action.",3.8,Publicis Groupe,"Mumbai
Easy Apply
14d",10000+ Employees,1926,Company - Private,Advertising & Marketing,Business Service,$5 to $10 billion (USD)
Data Scientist,₹4L - ₹14L (Employer Est.),"Inviting applications for the role of Data Scientist–India
The position is based out of India and the focus of the role is to have enterprise-level experience for Machine Learning Model build, validation, scoring, monitoring, etc and do analysis on back-office operations, be able to understand and translate and integrate the analysis from back-office to front-office.
Key Responsibilities:
· Develop and implement contact center strategies and programs that embeds digital thinking, delivery and support across the contact center functions, prioritizing digitally powered and enabled customer experience interventions
· Expertise in the use of automation, analytics & other digital interventions to drive digitalization of contact center operations",-1,TecAstra,Gurgaon,-1,-1,-1,-1,-1,-1
Data Science-Analyst/Consultant-A&C,₹4L - ₹8L (Glassdoor Est.),"Position Summary
Strategy & Analytics
Strategy
Our Strategy practice brings together several key capabilities that will allow us to architect integrated programs that transform our clients’ businesses, including Corporate & Business Unit Strategy, Technology Strategy & Insights, Enterprise Model Design, Enterprise Cloud Strategy and Business Transformation.
Strategy professionals will serve as trusted advisors to our clients, working with them to make clear data-driven choices about where to play and how to win, in order to drive growth and enterprise value.
Strategy will help our clients:
Identify strategies for growth and value creation",3.9,Deloitte,Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist (Computer vision),₹20L (Employer Est.),"Responsibilities:
- Developing a state of the art computer vision algorithms to automate or assist doctors in diagnosing ECG and Echocardiogram
- Building dataset by collecting and annotating images/videos if required
- Developing efficient image processing algorithms and deep learning models for image/video classification, segmentation, and analysis
Mandatory Skills:
- Proficient in image processing, classical machine learning, and deep learning
- Professional experience of 2-3 years in developing production-level Computer Vision products from scratch (Masters or Bachelors in Computer Science / Electronics)
- Proficient in C++ or Python
- Proficient in OpenCV
- Proficient in either Tensorflow, Keras, and/or PyTorch
- Self-driven, passionate, and team player",-1,Tricog Health India Private Limited,Bangalore,51 to 200 Employees,2015,Company - Private,Healthcare Services & Hospital,Healthcare,Unknown / Non-Applicable
Machine Learning Engineer,₹3L - ₹9L (Employer Est.),"Machine learning
Deep learning
Tensorflow
OpenCV
Job Types: Full-time, Regular / Permanent
Salary: ₹250,000.00 - ₹900,000.00 per year
Schedule:
Day shift
Monday to Friday",-1,Deeploop technologies,Hyderābād,-1,-1,-1,-1,-1,-1
"Spec, Data Scientist",₹7L - ₹7L (Glassdoor Est.),"Defines, develops, maintains and delivers strategic data science products that demonstrate the value and effectiveness of the organization. May allocate/coordinate work within a team/project. Develop and communicate insights leveraging the scientific method. Roles may specialize into 3 domain specialties : model science, feature science and Insight science capabilities. Accountable for developing and guiding more junior members.Defines, creates and maintains a meaningful insights. Establishes relationships to obtain data and subject knowledge needed to support advanced analytics. Conducts studies to provide additional facts needed to make informed decisions with regard to organizational and functional effectiveness with data decisioning.Communicates effectively with technical and business staff. Develops reports, and prepares and delivers both informational and decision-seeking presentations.Stays abreast of organization and management changes and has advanced knowledge of company practices relevant to data science products.Maintains knowledge of company's total computing environment and planned changes in order to develop meaningful data science products.Supervises resources by providing instruction, making assignments, directing and checking the work of applications developers. Provides training in technical tools and skills, as well as specific applications and their business functions to maximize their contribution.Grow and develop skills across the 3 domain specialties: model science, feature science and Insight science capabilities. Stressing expertise in the core functional areas: Computer Programming, Math&Analytic Methodology, Distributed computing and communications of complex results.Contributes to the achievement of related teams' objectivesMODIFIED BASED UPON LOCAL REGULATIONS/REQUIREMENTSBachelor's degree in a related discipline or equivalent work experience required6-8 years of related experience required; experience in the securities or financial services industry is a plus. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals with Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.",3.5,BNY Mellon,Pune,10000+ Employees,1784,Company - Public,,Finance,$10+ billion (USD)
Data Scientist,-1,"Job Description Summary
The Data scientist will work in teams addressing statistical and machine learning problems in Contractual Services Agreement (CSA) / Technologies or consultancy development environment. In this role, the person will contribute to the development and deployment of modern machine learning, deep-learning, statistical methods, semantic analysis for finding structure in large data sets.
Job Description
Essential Responsibilities
The Data Scientist will be a part of Contractual Services Agreement (CSA) & Technologies working on projects typically involving large, complex data sets. Develop data science models to address product and services engineering teams needs and opportunities. Work alongside software developers and software engineers to translate algorithms into viable products and services. Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics including image analytics. Perform exploratory and targeted data analysis using descriptive statistics and other methods. Work with data engineers on data quality assessment, data cleansing and data analytics. Generate reports, annotated code, and other projects artifacts to document, archive, and communicate the work and outcomes. Share and discuss findings with team members.",3.7,GE Aviation,"Bangalore
30d+",1001 to 5000 Employees,1917,Subsidiary or Business Segment,Aerospace & Defence,Aerospace & Defence,$25 to $50 million (USD)
Data Scientist,₹7L - ₹12L (Employer Est.),"Knowledge of querying data from databases.
High level of competence in Data Interpretation, Logical Reasoning, and Problem-Solving.
Ability and willingness to work with large amounts of data and work on multiple projects simultaneously.
Advanced level of Knowledge in Mathematics, Statistics, or Economics.
Excellent communication skills.
Work with the Managers to optimize analytical solutions.
Review peer work and help mentor new joiners.
Strong problem-solving ability: Candidate needs to exhibit structured thinking, strong Analytical Skills, and Process Orientation * Strong in Data analytics: The candidate should be proficient in SQL and Excel. Python/R will be added advantage.*",-1,Lendingtree Research Services LLP,Ahmedabad,-1,-1,-1,-1,-1,-1
Decision Scientist - GoFood,₹8L - ₹9L (Glassdoor Est.),"Location
Bengaluru
Work Type
Permanent
Application Posted
December 17, 2021
About the Role

They say no man is an island, and this holds true here at Gojek. As our Decision Scientist, you’ll be part of the data team that directly impacts Gojek’s GoFood. Your main objective will be to create business impact at scale. The Business and Product Team will be your companions during this ride. Best yet, you’ll have the opportunity to flex your analytics and DS skills!. What differentiates Gojek from other companies is the pace at which you can see your analysis and insights come to life and impact of millions of customers and thousands of merchants partners.",4.3,GO-JEK,Bangalore,1001 to 5000 Employees,2010,Company - Private,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable
Data Scientist,-1,"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.

Data Scientist",4.1,Bayer,"Bangalore
10d",10000+ Employees,1863,Company - Private,Biotech & Pharmaceutical,Biotech & Pharmaceutical,$10+ billion (USD)
