Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,per hour,per month,min_sal,max_sal,avg_sal,company_age,python,R,spark,machine_learning,AI,hadoop,sql,title,seniority,desc_len,sal_lac,sal_k
Sr. Data Scientist-I,₹5L - ₹8L ,":
India is among the top ten priority markets for General Mills, and hosts our Global Shared Services Centre. This is the Global Shared Services arm of General Mills Inc., which supports its operations worldwide. With over 1,300 employees in Mumbai, the center has capabilities in the areas of Supply Chain, Finance, HR, Digital and Technology, Sales Capabilities, Consumer Insights, ITQ (R&D & Quality), and Enterprise Business Services. Learning and capacity-building is a key ingredient of our success.
Job Description:
Job Overview
General Mills is seeking a Data Scientist to join the Data Science and Analytic Engineering team (DSAS) in the Enterprise Data Capabilities function. It is tasked with collaborating with and enabling existing functional data science and analytics teams. This team also provides data science expertise and services to advance initiatives around demand forecasting, text classification, operational analytics, and machine learning to name just a few. It is also responsible for curating a community of practice to determine the best standards and practices around data science at General Mills.",4.1,General Mills,Mumbai,10000+ Employees,1866,Company - Public,Food & Drink Manufacturing,Manufacturing,$10+ billion (USD),0,0,5,8,6.5,156,0,0,0,1,1,0,0,Data Scientist,senior,1132,1,0
Data Scientist - Innovations,₹1L - ₹2L ,"Company Description:
Merkle is a global data-driven, technology-enabled performance marketing agency. For over 30 years, Fortune 1,000 companies and leading nonprofit organisations have partnered with us to build and maximize the value of their customer portfolios. We work with world-class brands like Dell, T-Mobile, Samsung, GEICO, Regions, Kimberly-Clark, AARP, Lilly, Sanofi, NBC Universal, DIRECTV, American Cancer Society, Habitat for Humanity, and many others to build and execute customer-centric business strategies. With more than 9,000 smart, dedicated people in more than 50 offices around the world, we are still growing at a rate that outpaces the market, with 2018 net revenue of $846million.
Job Description:
What you’ll do at Merkle|Sokrati?",3.8,Merkle,Pune,1001 to 5000 Employees,1971,Company - Private,Advertising & Marketing,Business Service,$500 million to $1 billion (USD),0,0,1,2,1.5,51,0,0,0,0,0,0,0,Data Scientist,na,762,1,0
Executive - Data Scientist,₹4L - ₹6L ,"Job Description

ABOUT THIS JOB
Data science drives everything we do here at NielsenIQ. Our statistical research is at the forefront of an industry moving at the speed of light. GDDC is responsible for all Design related activities in Data science. GDDC is basically responsible for setting up the base of any product like retail index, E-comm, Cash & Carry, Scan track service (new/existing). They work closely with all the stakeholders to understand the client requirements &amp; provide recommendations/suggestions so as to best build up the product which balances expectations from both the client and methodological requirements. The GDDC team is responsible for processes starting from scope definition to panel sample design which would include processes like Sample design, extrapolation, and simulation, etc.",3.9,NielsenIQ,Vadodara,10000+ Employees,1923,Company - Private,Unknown / Non-Applicable,-1,-1,0,0,4,6,5.0,99,0,0,0,0,1,0,0,Data Scientist,na,820,1,0
Senior Data Scientist,₹6L - ₹18L ,"Responsibilities:
Research and develop statistical learning models for data analysis
Collaborate with product management and engineering departments to understand company needs and devise possible solutions
Keep up-to-date with the latest technology trends
Communicate results and ideas to key decision-makers
Implement new statistical or other mathematical methodologies as needed for specific models or analysis
Optimize joint development efforts through appropriate database use and project design",-1.0,Sai Info Solution,Nashik,-1,-1,-1,-1,-1,-1,0,0,6,18,12.0,-1,0,0,0,0,0,0,0,Data Scientist,senior,506,1,0
Data Scientist,₹4L - ₹14L ,"Inviting applications for the role of Data Scientist–India
The position is based out of India and the focus of the role is to have enterprise-level experience for Machine Learning Model build, validation, scoring, monitoring, etc and do analysis on back-office operations, be able to understand and translate and integrate the analysis from back-office to front-office.
Key Responsibilities:
· Develop and implement contact center strategies and programs that embeds digital thinking, delivery and support across the contact center functions, prioritizing digitally powered and enabled customer experience interventions
· Expertise in the use of automation, analytics & other digital interventions to drive digitalization of contact center operations",-1.0,TecAstra,Gurgaon,-1,-1,-1,-1,-1,-1,0,0,4,14,9.0,-1,0,0,0,1,0,0,0,Data Scientist,na,754,1,0
Data Science-Analyst/Consultant-A&C,₹4L - ₹8L ,"Position Summary
Strategy & Analytics
Strategy
Our Strategy practice brings together several key capabilities that will allow us to architect integrated programs that transform our clients’ businesses, including Corporate & Business Unit Strategy, Technology Strategy & Insights, Enterprise Model Design, Enterprise Cloud Strategy and Business Transformation.
Strategy professionals will serve as trusted advisors to our clients, working with them to make clear data-driven choices about where to play and how to win, in order to drive growth and enterprise value.
Strategy will help our clients:
Identify strategies for growth and value creation",3.9,Deloitte,Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),0,0,4,8,6.0,172,0,0,0,0,0,0,0,Data Analyst,na,652,1,0
Data Scientist (Computer vision),₹20L ,"Responsibilities:
- Developing a state of the art computer vision algorithms to automate or assist doctors in diagnosing ECG and Echocardiogram
- Building dataset by collecting and annotating images/videos if required
- Developing efficient image processing algorithms and deep learning models for image/video classification, segmentation, and analysis
Mandatory Skills:
- Proficient in image processing, classical machine learning, and deep learning
- Professional experience of 2-3 years in developing production-level Computer Vision products from scratch (Masters or Bachelors in Computer Science / Electronics)
- Proficient in C++ or Python
- Proficient in OpenCV
- Proficient in either Tensorflow, Keras, and/or PyTorch
- Self-driven, passionate, and team player",-1.0,Tricog Health India Private Limited,Bangalore,51 to 200 Employees,2015,Company - Private,Healthcare Services & Hospital,Healthcare,Unknown / Non-Applicable,0,0,20,0,10.0,7,1,0,0,1,0,0,0,Data Scientist,na,778,1,0
Machine Learning Engineer,₹3L - ₹9L ,"Machine learning
Deep learning
Tensorflow
OpenCV
Job Types: Full-time, Regular / Permanent
Salary: ₹250,000.00 - ₹900,000.00 per year
Schedule:
Day shift
Monday to Friday",-1.0,Deeploop technologies,Hyderābād,-1,-1,-1,-1,-1,-1,0,0,3,9,6.0,-1,0,0,0,1,0,0,0,MLE,na,178,1,0
"Spec, Data Scientist",₹7L - ₹7L ,"Defines, develops, maintains and delivers strategic data science products that demonstrate the value and effectiveness of the organization. May allocate/coordinate work within a team/project. Develop and communicate insights leveraging the scientific method. Roles may specialize into 3 domain specialties : model science, feature science and Insight science capabilities. Accountable for developing and guiding more junior members.Defines, creates and maintains a meaningful insights. Establishes relationships to obtain data and subject knowledge needed to support advanced analytics. Conducts studies to provide additional facts needed to make informed decisions with regard to organizational and functional effectiveness with data decisioning.Communicates effectively with technical and business staff. Develops reports, and prepares and delivers both informational and decision-seeking presentations.Stays abreast of organization and management changes and has advanced knowledge of company practices relevant to data science products.Maintains knowledge of company's total computing environment and planned changes in order to develop meaningful data science products.Supervises resources by providing instruction, making assignments, directing and checking the work of applications developers. Provides training in technical tools and skills, as well as specific applications and their business functions to maximize their contribution.Grow and develop skills across the 3 domain specialties: model science, feature science and Insight science capabilities. Stressing expertise in the core functional areas: Computer Programming, Math&Analytic Methodology, Distributed computing and communications of complex results.Contributes to the achievement of related teams' objectivesMODIFIED BASED UPON LOCAL REGULATIONS/REQUIREMENTSBachelor's degree in a related discipline or equivalent work experience required6-8 years of related experience required; experience in the securities or financial services industry is a plus. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals with Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.",3.5,BNY Mellon,Pune,10000+ Employees,1784,Company - Public,,Finance,$10+ billion (USD),0,0,7,7,7.0,238,0,0,0,0,1,0,0,Data Scientist,na,2508,1,0
Data Scientist,₹7L - ₹12L ,"Knowledge of querying data from databases.
High level of competence in Data Interpretation, Logical Reasoning, and Problem-Solving.
Ability and willingness to work with large amounts of data and work on multiple projects simultaneously.
Advanced level of Knowledge in Mathematics, Statistics, or Economics.
Excellent communication skills.
Work with the Managers to optimize analytical solutions.
Review peer work and help mentor new joiners.
Strong problem-solving ability: Candidate needs to exhibit structured thinking, strong Analytical Skills, and Process Orientation * Strong in Data analytics: The candidate should be proficient in SQL and Excel. Python/R will be added advantage.*",-1.0,Lendingtree Research Services LLP,Ahmedabad,-1,-1,-1,-1,-1,-1,0,0,7,12,9.5,-1,1,0,0,0,0,0,1,Data Scientist,na,694,1,0
Decision Scientist - GoFood,₹8L - ₹9L ,"Location
Bengaluru
Work Type
Permanent
Application Posted
December 17, 2021
About the Role

They say no man is an island, and this holds true here at Gojek. As our Decision Scientist, you’ll be part of the data team that directly impacts Gojek’s GoFood. Your main objective will be to create business impact at scale. The Business and Product Team will be your companions during this ride. Best yet, you’ll have the opportunity to flex your analytics and DS skills!. What differentiates Gojek from other companies is the pace at which you can see your analysis and insights come to life and impact of millions of customers and thousands of merchants partners.",4.3,GO-JEK,Bangalore,1001 to 5000 Employees,2010,Company - Private,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable,0,0,8,9,8.5,12,0,0,0,0,1,0,0,Decision Scientist ,na,667,1,0
DATA SCIENTIST,₹5L - ₹9L ,"Overview:
Weatherford is the leading wellbore and production solutions company. Operating in more than 70 countries, the Company answers the challenges of the energy industry with its global talent network of approximately 17,000 team members and 385 locations, which include service, research and development, training, and manufacturing facilities. Visit weatherford.com for more information or connect on LinkedIn, Facebook, Twitter, Instagram, or YouTube.

We’re looking to the future with a clear vision and a strong mission.

Our goal is to address the headwinds facing the industry, revolutionize the oilfield with digital technology, integrated solutions, and world-class talent.

We accept every challenge for the benefit of our Company, our industry, and the world. Our technology leadership delivers solutions that rise to every occasion, supply the best outcomes in each operation, and give power to all customers.


Responsibilities:

Qualifications:",3.4,Weatherford,Mumbai,10000+ Employees,1987,Unknown,Oil & Gas Service,"Oil, Gas, Energy & Utility",$10+ billion (USD),0,0,5,9,7.0,35,0,0,0,0,1,0,0,Data Scientist,na,975,1,0
Data Scientist / Machine Learning Engineer,₹5L - ₹7L ,"Company Description

PubMatic delivers superior revenue to publishers by being an SSP of choice for agencies and advertisers. PubMatic’s cloud infrastructure platform for digital advertising empowers app developers and publishers to increase monetization while enabling media buyers to drive return on investment by reaching and engaging their target audiences in brand-safe, premium environments across ad formats and devices. Since 2006, PubMatic has been expanding its owned and operated global infrastructure and continues to cultivate programmatic innovation. With a globally distributed workforce and no corporate headquarters, PubMatic operates 16 offices and eight data centers across North America, Europe, and Asia Pacific.

Job Description",4.5,PubMatic,Pune,501 to 1000 Employees,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD),0,0,5,7,6.0,16,0,0,0,0,0,0,0,Data Scientist,na,754,1,0
Senior Data Scientist,₹10L - ₹14L ,"Should be able to demonstrate the ability to model and analyze large-scale datasets and exhibit strong systematic thinking and detail-oriented skills to assure the integrity of various solutions. You should also have experience of collaborating across organizational boundaries.
Responsibilities:
Validating the integrity of various modeling solutions on a regular basis and standardizing the process
Analyzing large-scale datasets and effectively visualizing and communicating findings with the team and customers
Developing pricing outlier detection algorithms
Implementing AB testing methodology",-1.0,Santa Fe Research Pvt Ltd,Chennai,-1,-1,-1,-1,-1,-1,0,0,10,14,12.0,-1,0,0,0,0,1,0,0,Data Scientist,senior,603,1,0
Data Scientist,₹5L - ₹8L ,"Role –Data Scientist (Profile-1 : Applied ML)

Nissan is a pioneer in Innovation and Technology. With a focus on Mobility, Operational Excellence, Value to our Customers and Electrification of vehicles, you can expect to be part of a very exciting journey here at Nissan.

Nissan is going after a massive Digital Transformation backed by leading technologies across the organization globally. We are committed to building a diverse, entrepreneurial organization, and our current team is a strong evidence of that. Our people are what drive the business forward. At Nissan Digital, you will be part of a dynamic team with ample opportunities to grow and make a difference.

Overall 6-8 yrs. of relevant experience in Data Science/ Machine Learning space

·


1. PhD/Master/Bachelors quantitative discipline (e.g., Statistics, Operations Research, Economics, Computer Science, Mathematics, Physics, Industrial Engineering) or equivalent practical experience.

2. Must have delivered one or more data science product(s) in production.

3. Fully hands-on


The Data Scientist will be part of Nissan Digital (fully owned subsidiary of Nissan Motors) as Data Science CoE who works with teams across the globe. They will be managing / coordinating with the team that identifies and develops advanced analytics statistical models, machine learning methods and solutions for Nissan Motors – Global Business Functions to improve various business outcome indicators.



Data Scientist in Data Science CoE follow multiple approaches for project execution. He/she will be part of a team solving a set of business problems, developing concept applications. The candidate is expected to bring in original ideas, collaborate and work with software engineering and dev-ops team for development and deployment of the solution.


- Thiruvananthapuram

-6-8 years of experience in Statistical and Machine learning models.

Proficient in Python/R for machine learning.

Proficient in Data Visualization in python / R or using BI Tools such as Tableau

Proficient in Statistical modelling techniques and Machine Learning Algorithms

Knowledge of AWS ecosystem (Lambda, Batch, Glue, RDS) would be a plus

Proficiency in Optimization techniques with open source tools is a plus

Should understand CI/CD processes in product deployment and used it in delivery. Should have understanding of Dockerization, REST APIs

Ability to translate domain problems to data science problem

Ability to learn new technologies continuously and go to implementation

Preferred Skillsets

Applied experience in Operations Research, Statistical Modelling, Optimization with OR Tools or equivalent, PyTorch, Deep Learning, H2O.ai, Tensor Flow 2.0, scikit-learn, Python, R, Julia, Numba, Cython, Spark. Django

Please clearly mention the projects where you contributed, the technologies used and the contributions to the project. Please separate out hobby projects and ML/NLP courses to a different section.

Drive your career forward and join the company leading the technology and business evolution in the automotive industry.

Trivandrum Kerala India",3.6,Nissan,Thiruvananthapuram,10000+ Employees,-1,Transport Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,0,0,5,8,6.5,-1,1,0,1,1,1,0,0,Data Scientist,na,3162,1,0
Data Scientist (Remote),₹4L - ₹15L ,"Responsibilities
Mine and analyze data from various sources to drive optimization and improvement of product development.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Develop A/B testing framework and test model quality.
Implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.",-1.0,Accubits Technologies Pvt Ltd,Thiruvananthapuram,-1,-1,-1,-1,-1,-1,0,0,4,15,9.5,-1,0,0,0,0,0,0,0,Data Scientist,na,462,1,0
Data Science - Faculty,₹4L - ₹8L ,"Job Title: Data Science Trainer
Company Overview:
PRESIDENCY LTD is an E-Learning, Software and Digital Transformation company headquartered in London, United Kingdom. We cater to the IT & Digital needs of business of all different sizes and industries.
With over a decade of experience, we have been helping companies establish their brands and re-imagine their business. We implement impactful digital engineering solutions powered by the latest technologies.
Website: presidencyworld.com",-1.0,Presidency Digital India Pvt. Ltd.,Navi Mumbai,-1,-1,-1,-1,-1,-1,0,0,4,8,6.0,-1,0,0,0,0,1,0,0,Data Scientist,na,494,1,0
Data Scientist,₹10L - ₹25L ,"Responsibilities
Gather and analyze data, using various types of analytics and reporting tools to detect patterns, trends, and relationships in data sets
Establish best practices for collecting data using analysis tools, and interpreting data
Process, cleanse, and verify the integrity of data used for analysis
Perform ad-hoc analysis and present results in a clear manner using appropriate medium
Process / mine huge volumes of structured, semi-structured and unstructured data using state of-the- art methods to derive meaningful insights in an appropriate format
Recommend tools, techniques, and practices across organization to enhance knowledge",-1.0,GSN Solutions LLC (Pyx Tech Pvt Ltd),Pune,Unknown,-1,Unknown / Non-Applicable,-1,-1,-1,0,0,10,25,17.5,-1,0,0,0,0,0,0,0,Data Scientist,na,656,1,0
Data Scientist,₹4L - ₹6L ,"About PhonePe
PhonePe is India's leading digital payments platform with over 280 million registered users. Using PhonePe, users can send and receive money, recharge mobile, DTH, data cards, pay at stores, make utility payments, buy gold, and make investments. PhonePe went live for customers in August 2016 and was the first non-banking UPI app and offered money transfer to individuals and merchants, recharges and bill payments to begin with. In 2017, PhonePe forayed into financial services with the launch of digital gold, providing users with a safe and convenient option to buy 24-karat gold securely on its platform. PhonePe has since launched Mutual Funds and Insurance products like tax-saving funds, liquid funds, international travel insurance, Corona Care, a dedicated insurance product for the COVID-19 pandemic among others.
PhonePe launched its Switch platform in 2018, and today its customers can place orders on over 300 apps including Ola, Myntra, IRCTC, Goibibo, RedBus, Oyo etc. directly from within the PhonePe mobile app. PhonePe is accepted at over 18 million merchant outlets across 500 cities nationally.",3.9,PhonePe,Bangalore,51 to 200 Employees,-1,Unknown / Non-Applicable,-1,-1,-1,0,0,4,6,5.0,-1,0,0,0,0,0,0,0,Data Scientist,na,1131,1,0
Data science,₹2L - ₹4L ,"About the company:
CogniTensor is a technology company that brings data to the heart of decision-making by using a SAAS business model. CogniTensor leverages its product, DeepOptics - an integrated MLOps environment - to implement AI/ML-driven products using research-based algorithms. Cognitensor has implemented diverse use cases in multiple industries like Energy, Commodity, Retail & Manufacturing with a proven track record.
Website: https://www.cognitensor.com/
We are looking for:
We are looking for a Data Scientist to be part of a technical team and help us gain useful insight out of raw data and to help improve our products and business decisions by making the most out of our data.",-1.0,CogniTensor,Noida,-1,-1,-1,-1,-1,-1,0,0,2,4,3.0,-1,0,0,0,0,1,0,0,Data Scientist,na,698,1,0
Associate Data Scientist,₹4L - ₹8L ,"Company description:
Liberin Technologies is a Software Development Service company that focuses on Cloud, Artificial Intelligence, Mobility, Web, DevOps and Enterprise applications. Liberin Technologies has worked with customers across the globe and has some of its key customers in the United States of America and Australia. The organization's main focus is on software development processes that enable it to support its clients through an offshore model. It also has a strong focus on R&D and explores the frontier areas of IoT, Machine learning, and Blockchain. With a strong team, it has been delivering quality services through innovative and cost-effective processes to some of its marquee clients.
As an Associate Data Scientist, you will be responsible for handling key aspects of a product involving prediction and forecasting of key metrics meant for Banking and Financial institutions. If you have experience in programming in Java (including Spring Boot) and have already had experience or want to venture into the field of Machine Learning then let's talk.",-1.0,Liberin Technologies Private Limited,Noida,-1,-1,-1,-1,-1,-1,0,0,4,8,6.0,-1,0,0,0,1,1,0,0,Data Scientist,na,1074,1,0
Data Scientist,₹6L - ₹20L ,"****Immediate Joiners Only****
Job Description:
Develop algorithms that utilize deep learning and traditional methods in machine learning.
Experience with NLP, Chatbot, Conversational AI.
Rest APIs, Deployment and MLOps.
Create experiments, algorithms and prototypes that not only yield high-accuracy but are also designed and engineered to scale.
Understand business domain, formulate the problem, create and organize data for improving overall machine learning outcome.",-1.0,DSMATICS TECHNOLOGY SOLUTIONS PVT. LTD.,Pune,-1,-1,-1,-1,-1,-1,0,0,6,20,13.0,-1,0,0,0,1,1,0,0,Data Scientist,na,477,1,0
Data Science (R&D),₹4L - ₹8L ,"Company Description

Robert Bosch Engineering and Business Solutions Private Limited is a 100% owned subsidiary of Robert Bosch GmbH, one of the world's leading global supplier of technology and services, offering end-to-end Engineering, IT and Business Solutions.
With over 20,000 associates, it’s the largest software development center of Bosch, outside Germany, indicating that it is the Technology Powerhouse of Bosch in India with a global footprint and presence in the US, Europe and the Asia Pacific region.

Do you want to be part of the data revolution, reforms and strategies? Whether it's in the area of mobility solutions, consumer goods, industrial technologies or energy and building technology or others, with Bosch R&D, you will have the chance to improve quality of life all across the globe by working on cutting edge technologies. We are a world class R&D team responsible to bring new features & products to the market for most product portfolio of Bosch with diverse verticals (Autonomous Driving, Consumer Electronics, Building Technologies, etc. to name a few).",4.0,Bosch Group,Bangalore,10000+ Employees,1886,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),0,0,4,8,6.0,136,0,0,0,0,0,0,0,Data Scientist,na,1090,1,0
Data Scientist,₹3L - ₹5L ,"Your Journey at Crowe Starts Here:
At Crowe, you have the opportunity to deliver innovative solutions to today’s complex business issues. Crowe’s accounting, consulting, and technology personnel are widely recognized for their in-depth expertise and understanding of sophisticated process frameworks and enabling technologies, along with their commitment to delivering measurable results that help clients build business value. Our focus on emerging technology solutions along with our commitment to internal career growth and exceptional client value has resulted in a firm that is routinely recognized as a “Best Place to Work.” We are 75 years strong and still growing. Come grow with us!
Job Description:
About Crowe Data Science",3.8,Crowe,Noida,1001 to 5000 Employees,1942,Company - Private,Accounting,Accounting & Legal,$500 million to $1 billion (USD),0,0,3,5,4.0,80,0,0,0,0,0,0,0,Data Scientist,na,736,1,0
